,,,,,
jyLhR0ulGro,Inondation à Lomé,2023-07-12T23:48:35Z,12251,55,innondations
przFYAMgRVM,INONDATIONS À LOMÉ À CAUSE DE LA FORTE PLUIE 2023 #lome #togo #2023,2023-07-13T00:23:14Z,6309,71,innondations
7XLliLXEeuU,TOGO-LOME inondation après la pluie du 12-07-2023 #inondations #togo #pluie #lomé,2023-07-13T11:00:10Z,338,0,innondations
wZ21u-DzxtU,Togo : le grand Lomé et les inondations,2023-06-25T15:00:41Z,3690,30,innondations
mlwg2u_SAOw,Inondations mortelles dans le nord-est de l&#39;Italie : le signe de la &quot;tropicalisation&quot; du climat,2023-05-19T06:41:01Z,7304,73,innondations
r2RpJzebfU8,Lomé Inondation Agoè kitidjan sous les eaux,2023-05-16T21:32:05Z,13856,44,innondations
yeFk_1qYI8A,Des bassins de rétention efficaces dans certains quartiers de Lomé,2023-07-12T20:05:25Z,1324,6,innondations
96gnW46xhEA,Grosse pluie de ce matin à Lomé: les dégâts sont énormes - NO COMMENT,2023-07-12T18:52:29Z,33162,175,innondations
vey3HKg1vFA,"Togo - Lomé after the rain of September 2, 2023",2023-09-03T08:45:02Z,1048,16,innondations
yx8zzIm_HqA,Inondation Lomé,2023-05-16T21:54:35Z,20031,150,innondations
YWo3SjOwKaU,#☔La pluie tombe au Togo🇹🇬 mais la route des togolaise est la route inachevée😱,2023-06-08T10:52:42Z,8371,43,innondations
95w_kfdAV1A,l&#39;inondation 😂😂 #Togo #viral #tiktok #trending #challenge#Diakité,2023-07-13T19:44:23Z,133,3,innondations
DR8ywWRaXHs,Togo // inondations : la zone Agoè 2 lions en attente de solutions,2023-07-15T08:12:48Z,8092,,innondations
ozoabk-TMiE,INONDATION AU MARCHÉ De HEDJRANAWOE AU TOGO 🇹🇬 #lome #togo #2023,2023-10-24T23:54:12Z,6057,38,innondations
BkcwUCBuObk,Terrible pluie suivie d&#39;inondation à Lomé au Togo,2023-07-13T02:07:51Z,30,0,innondations
3L7uHgjy5QE,Togo: Lomé est sous les eaux,2023-05-19T14:50:42Z,13755,63,innondations
3mdTm_knFYk,LOMÉ | BÈ KPÉHÉNOU Inondation sur la route après la pluie,2023-06-28T10:25:25Z,2549,18,innondations
vjPDNpE5API,Inondation à Lomé #inondation #lomé,2023-07-12T15:12:10Z,158,0,innondations
ourTkJPCRIM,No Comment : inondations et glissements de terrain mortels en Inde,2023-08-17T12:26:47Z,1532,7,innondations
9Nroi5KGLOs,Les images des inondations après des pluies diluviennes à Lyon samedi,2023-06-04T07:04:04Z,48132,524,innondations
F-kUbtEKiNU,Togo : les migrants forcés au retour s&#39;entraident,2023-06-05T21:20:53Z,6126,42,innondations
fFOXu2Tl0IA,INONDATION AU TOGO PAR UNE FORTE PLUIE EN  CES PÉRIODES D&#39;EVALA À KARA,2023-07-12T18:56:16Z,1399,26,innondations
E_1pEuNe0tc,Togo:la clôture de l&#39;aéroport de Lomé sous les eaux,2023-05-18T21:19:54Z,5393,27,innondations
4n_CQdEqnJE,Les images de la Californie submergée par des inondations,2023-03-13T09:31:29Z,51426,379,innondations
1WqJst9Q8C8,Inondation à Lomé (TOGO),2023-10-30T15:06:27Z,5927,49,innondations
CqhZLQtWpUU,"États-Unis : percutée par un pneu, une voiture s’envole sur l’autoroute",2023-03-27T14:55:16Z,593644,10749,innondations
Z_K3T3FpaAk,Libye : la tempête Daniel fait au moins 150 morts dans l&#39;est à cause des inondations,2023-09-11T15:14:54Z,279484,914,innondations
ObFr55LBrvM,Ivorian refugees in Togo in dilemma as their status nears end,2022-06-20T16:01:49Z,1201,6,innondations
k2bvuIUyyIg,Libye : des corps sans vie retrouvés en plein désert,2022-06-30T05:24:28Z,253048,491,innondations
bn4SHXqdj2I,"Lomé la perle de l&#39;Afrique de l&#39;ouest, Togo",2023-08-21T21:56:24Z,785,23,innondations
j4mFeA_ETf4,Togo inondation voici les faits,2022-06-09T19:41:19Z,30,11,innondations
6oS_innVFmA,Togo-Chutes d’arbres à Lomé après la pluie,2023-05-15T14:45:12Z,326,1,innondations
9N5BHwzUi-U,Togo : un marché ravagé par un incendie,2023-12-22T19:17:45Z,20303,119,innondations
R7R8sniUfyU,"Daniel, l&#39;inondation a Lome.",2023-05-24T06:30:03Z,1004,17,innondations
x8AI6Pq-btI,"En Chine, conduire une voiture volante ne sera bientôt plus de la science-fiction",2023-07-23T14:00:40Z,970144,6860,innondations
CNblc9aom9M,La corniche de Dakar après la pluie,2022-08-05T15:50:53Z,259741,,innondations
UJd06T_Qp-M,"Togo : le nouveau port de pêche de Lomé, don du Japon",2022-08-28T09:22:53Z,5668,34,innondations
Gzv8pVw9VlU,Inondation à Lomé #inondation #Lomé,2023-07-12T15:09:23Z,578,3,innondations
b8A4k6y3jeY,WACA -Togo sauve Akoumapé des inondations,2023-10-25T21:40:25Z,30,0,innondations
